,Severity,Distance(mi),Side,State,State_Number,Timezone,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition,Day_Night
0,2,0.222,0,OH,4,US/Eastern,43.0,51.0,10.0,4,1
1,2,0.03,0,OH,4,US/Eastern,40.0,60.0,10.0,4,1
2,2,0.201,0,OH,4,US/Eastern,40.0,60.0,10.0,4,0
3,2,0.093,0,OH,4,US/Eastern,43.0,60.0,10.0,3,1
4,3,0.205,0,OH,4,US/Eastern,42.0,62.0,10.0,4,1
5,2,0.679,0,KY,2,US/Eastern,51.0,48.0,10.0,4,1
6,3,0.407,0,OH,4,US/Eastern,53.0,50.0,10.0,3,1
7,3,0.126,0,KY,2,US/Eastern,64.0,31.0,10.0,3,1
8,3,0.034,0,OH,4,US/Eastern,49.0,44.0,10.0,4,1
9,2,0.0,0,KY,2,US/Eastern,61.0,38.0,10.0,4,1
10,2,0.0,0,OH,4,US/Eastern,54.0,49.0,10.0,3,1
11,2,0.439,0,OH,4,US/Eastern,62.0,35.0,10.0,3,1
12,2,0.395,0,WV,6,US/Eastern,64.0,29.0,10.0,4,1
13,2,0.047,0,OH,4,US/Eastern,54.0,43.0,10.0,3,1
14,2,0.4539999999999999,0,OH,4,US/Eastern,54.0,43.0,10.0,3,1
15,2,0.2269999999999999,0,WV,6,US/Eastern,60.0,32.0,10.0,3,1
16,2,0.89,0,KY,2,US/Eastern,65.0,32.0,10.0,3,1
17,2,0.833,0,KY,2,US/Eastern,65.0,33.0,10.0,3,1
18,2,0.494,0,OH,4,US/Eastern,65.0,34.0,10.0,3,1
19,2,0.368,0,OH,4,US/Eastern,52.0,45.0,10.0,3,1
20,2,1.035,0,OH,4,US/Eastern,67.0,26.0,10.0,4,1
21,2,0.516,0,OH,4,US/Eastern,58.0,42.0,10.0,3,1
22,4,0.076,0,OH,4,US/Eastern,60.0,44.0,10.0,4,1
23,2,0.175,0,OH,4,US/Eastern,54.0,47.0,10.0,3,1
24,2,0.104,0,WV,6,US/Eastern,57.0,37.0,10.0,3,1
25,4,1.153,0,OH,4,US/Eastern,54.0,51.0,10.0,4,1
26,2,0.211,0,WV,6,US/Eastern,63.0,30.0,10.0,3,0
27,4,0.68,1,IN,1,US/Eastern,56.0,47.0,10.0,3,0
28,4,0.687,1,IN,1,US/Eastern,56.0,47.0,10.0,3,0
29,2,1.158,0,OH,4,US/Eastern,60.0,51.0,10.0,4,0
30,4,0.912,1,OH,4,US/Eastern,50.0,57.0,10.0,3,0
31,4,1.153,0,OH,4,US/Eastern,54.0,57.0,10.0,4,1
32,2,0.303,0,KY,2,US/Eastern,69.0,44.0,10.0,4,1
33,4,0.655,0,IN,1,US/Eastern,68.0,30.0,10.0,4,1
34,3,0.0819999999999999,0,WV,6,US/Eastern,57.0,77.0,10.0,3,0
35,2,0.297,0,WV,6,US/Eastern,54.0,93.0,7.0,3,1
36,3,0.473,0,WV,6,US/Eastern,51.0,89.0,8.0,3,0
37,4,0.049,0,OH,4,US/Eastern,49.0,56.0,10.0,4,1
38,4,0.5589999999999999,0,OH,4,US/Eastern,46.0,40.0,10.0,4,1
39,3,0.03,0,OH,4,US/Eastern,47.0,61.0,10.0,4,1
40,3,0.077,0,KY,2,US/Eastern,46.0,61.0,10.0,4,0
41,3,0.37,0,KY,2,US/Eastern,44.0,65.0,10.0,4,0
42,2,0.0,0,PA,5,US/Eastern,40.0,65.0,10.0,3,1
43,2,0.999,1,WV,6,US/Eastern,46.0,56.0,10.0,4,1
44,3,0.0,1,WV,6,US/Eastern,56.0,60.0,10.0,3,1
45,3,0.481,0,PA,5,US/Eastern,50.0,57.0,10.0,3,1
46,2,0.3979999999999999,0,OH,4,US/Eastern,51.0,48.0,10.0,4,1
47,3,0.297,0,OH,4,US/Eastern,52.0,50.0,10.0,4,1
48,3,0.16,0,OH,4,US/Eastern,54.0,53.0,10.0,3,1
49,2,0.3720000000000001,0,OH,4,US/Eastern,55.0,54.0,10.0,3,1
50,3,0.6579999999999999,0,OH,4,US/Eastern,55.0,57.0,10.0,4,1
51,2,0.344,0,OH,4,US/Eastern,53.0,52.0,10.0,3,1
52,4,1.058,0,MI,3,US/Eastern,40.0,52.0,10.0,4,1
53,2,0.266,0,OH,4,US/Eastern,52.0,61.0,10.0,3,1
54,2,0.193,0,OH,4,US/Eastern,51.0,56.0,10.0,3,1
55,3,0.023,0,IN,1,US/Eastern,52.0,89.0,7.0,3,1
56,3,0.0069999999999999,0,IN,1,US/Eastern,52.0,89.0,7.0,3,1
57,2,0.226,0,IN,1,US/Eastern,52.0,93.0,7.0,3,1
58,2,0.512,0,OH,4,US/Eastern,49.0,100.0,10.0,3,1
59,2,0.345,0,OH,4,US/Eastern,43.0,93.0,5.0,3,1
60,3,0.141,0,OH,4,US/Eastern,50.0,100.0,10.0,3,1
61,2,0.114,0,OH,4,US/Eastern,47.0,90.0,10.0,3,1
62,3,1.071,0,OH,4,US/Eastern,49.0,90.0,6.0,3,1
63,3,0.341,0,OH,4,US/Eastern,54.0,82.0,10.0,3,1
64,3,0.176,0,OH,4,US/Eastern,54.0,82.0,10.0,3,1
65,2,0.3,0,OH,4,US/Eastern,47.0,71.0,10.0,3,1
66,3,1.079,0,OH,4,US/Eastern,54.0,82.0,10.0,3,1
